1000
T Rho Ye Ym Mue Mum Mun Mup Un Up
2.2353590e+01 3.4587996e+14 2.6595172e-01 4.9846937e-02 2.2574276e+02 1.5671295e+02 9.5481031e+02 8.9559495e+02 2.2309367e+02 1.9835586e+02 
4.6424194e+01 2.8666377e+14 2.5005856e-01 6.5292947e-02 1.8143590e+02 1.1787949e+02 9.1710804e+02 8.4652908e+02 1.8708150e+02 1.6209315e+02 
2.9103188e+01 6.7935457e+14 2.3895615e-01 1.5301573e-02 2.7142763e+02 1.2640576e+02 1.0692193e+03 9.7078218e+02 4.2592461e+02 4.0487771e+02 
4.1388817e+01 2.0330320e+14 1.7841795e-01 8.6137250e-03 1.3818874e+02 3.0569655e+01 9.2039221e+02 8.0700608e+02 1.4221044e+02 1.0301289e+02 
2.1613981e+01 7.3577622e+13 1.0930666e-01 3.4043153e-03 8.8569798e+01 4.5236879e+01 9.2466560e+02 8.4514889e+02 5.2726748e+01 3.1838814e+01 
2.4439293e+01 6.0842017e+14 2.4588557e-01 7.9122023e-03 2.6659806e+02 1.0942396e+02 1.0411805e+03 9.4753032e+02 3.8283782e+02 3.5874444e+02 
2.8694138e+01 4.5920233e+14 2.5122160e-01 1.1580464e-03 2.4026861e+02 3.4472165e+01 9.8913671e+02 8.9894823e+02 2.9331825e+02 2.6286249e+02 
6.1231875e+00 1.5799468e+11 2.0101462e-01 4.9403112e-02 9.4796584e+00 8.0191212e+01 9.1101576e+02 9.0272239e+02 1.0793477e-01 7.9561828e-02 
3.4686611e+01 1.0526742e+14 1.7892735e-01 7.9174577e-02 1.0887684e+02 1.0564285e+02 8.9736021e+02 8.3131446e+02 6.9854075e+01 5.1016666e+01 
3.4774212e+01 1.0675399e+14 1.7723532e-01 4.1090497e-02 1.0898552e+02 8.0089646e+01 9.0128219e+02 8.2291950e+02 7.2917155e+01 5.0787612e+01 
3.0169527e+01 1.4119635e+14 1.3792117e-01 2.7779770e-02 1.1736809e+02 8.8809309e+01 9.2411461e+02 8.2833679e+02 1.0006126e+02 6.6843780e+01 
8.2564964e+00 4.8588715e+12 8.1488937e-02 5.6476924e-02 3.2005732e+01 9.7585247e+01 9.2506309e+02 9.0119866e+02 3.0798880e+00 1.8622421e+00 
4.7238125e+01 4.9260111e+14 2.4095580e-01 6.4166385e-02 2.2462288e+02 1.4719266e+02 9.8170097e+02 9.0096608e+02 3.1231348e+02 2.8946616e+02 
2.6490881e+01 8.4002755e+14 2.2977346e-01 4.8445939e-02 2.9029547e+02 1.9298285e+02 1.1411430e+03 1.0470462e+03 5.2468839e+02 5.1159715e+02 
3.6727859e+01 1.5296778e+14 1.7020139e-01 4.4201782e-02 1.2422740e+02 9.1940409e+01 9.1180525e+02 8.2158460e+02 1.0637921e+02 7.6044808e+01 
5.4335323e+01 3.6121279e+14 2.0644872e-01 1.2037163e-02 1.7308346e+02 3.2767796e+01 9.4145151e+02 8.1707866e+02 2.3599706e+02 1.9764505e+02 
6.8334723e+00 5.3170166e+11 1.3819022e-01 8.5353630e-02 1.4818813e+01 8.8197521e+01 9.1483335e+02 9.0406062e+02 3.5468250e-01 2.4909167e-01 
5.1981968e+01 5.5484538e+14 2.3496912e-01 8.6982230e-02 2.2771978e+02 1.6667004e+02 9.9804410e+02 9.2116401e+02 3.4952148e+02 3.3050257e+02 
2.5792997e+01 5.5692342e+13 1.5200052e-01 4.4312028e-02 8.4604841e+01 8.6429258e+01 9.0552453e+02 8.4490169e+02 3.6679595e+01 2.4315637e+01 
5.6253982e+00 1.2048517e+11 2.0619214e-01 3.7318283e-02 8.7653465e+00 7.9911136e+01 9.1261374e+02 9.0470294e+02 8.2848524e-02 6.0560883e-02 
4.1336346e+01 1.5531496e+14 1.9635317e-01 8.9930809e-02 1.2688976e+02 1.1381688e+02 8.9602130e+02 8.2553095e+02 1.0488485e+02 8.1767489e+01 
1.8157604e+01 5.1219941e+14 2.5791290e-01 1.1580050e-02 2.5852173e+02 1.2709805e+02 1.0063168e+03 9.2532997e+02 3.2489722e+02 2.9869387e+02 
2.0304384e+01 5.7940532e+14 2.5475958e-01 7.7884038e-02 2.6757421e+02 2.0422886e+02 1.0206432e+03 9.5964381e+02 3.6441112e+02 3.4749074e+02 
6.3750782e+00 6.0994591e+11 1.2512214e-01 2.5368082e-02 1.5965658e+01 8.3122832e+01 9.1864391e+02 9.0483707e+02 4.2353225e-01 2.7144314e-01 
1.5077486e+01 1.3549848e+13 1.2954751e-01 6.6830578e-02 5.0367588e+01 9.3874884e+01 9.1230688e+02 8.7953707e+02 8.3228273e+00 5.4591863e+00 
3.1809166e+01 6.1266886e+13 2.0462951e-01 4.5255152e-03 9.2623901e+01 1.3880271e+01 8.9179398e+02 8.2470882e+02 4.0783089e+01 2.7670562e+01 
5.4873581e+01 3.3526941e+14 2.2712591e-01 6.1591517e-02 1.7404765e+02 1.0436888e+02 9.2282715e+02 8.3291860e+02 2.1798851e+02 1.8927022e+02 
6.1565027e+00 1.7039552e+11 1.9342589e-01 5.1365158e-02 9.6742997e+00 8.0708142e+01 9.1131745e+02 9.0277271e+02 1.1656303e-01 8.5295570e-02 
3.8461121e+01 1.3828269e+14 1.8524657e-01 3.5543287e-03 1.2058090e+02 1.1892259e+01 9.0665248e+02 8.0724897e+02 9.7274987e+01 6.6784011e+01 
2.2249609e+01 6.4437817e+14 2.4845317e-01 2.8899468e-02 2.7421566e+02 1.5997388e+02 1.0526666e+03 9.6763686e+02 4.0461527e+02 3.8435838e+02 
2.3184311e+01 3.7514828e+14 2.6263613e-01 2.6589850e-02 2.3077081e+02 1.3519347e+02 9.6438292e+02 8.9449127e+02 2.4191741e+02 2.1399654e+02 
