1744
# Radius, Mass, Rho, T, Ye, Ym, Mu_e, Mu_mu, Mu_n, M_n_eff, U_n, Xn_val, Mu_p, M_p_eff, U_p, Xp_val
2.425000000000000000e+06 5.938937489511274537e-01 1.930078270888295410e+12 8.584606643106287294e+00 3.028889483362733337e-01 5.631648947955614311e-06 -1.016998996011816647e+00 9.700654356252485400e+00 9.145471061819242777e+02 9.376816691870053546e+02 1.114701439624458112e+00 6.066605517008505366e-01 9.041502967576773244e+02 9.363883298156932824e+02 8.427343209054347639e-01 2.190499852353987031e-01
2.475000000000000000e+06 5.974811132338083697e-01 1.852940974057081543e+12 8.468827822620458079e+00 3.012956001208016432e-01 4.882048238902355083e-06 -1.238135506276908160e+00 9.617185122700917077e+00 9.147724534470855815e+02 9.377513697867248084e+02 1.073983568800162880e+00 6.094558040180845238e-01 9.044460248193122425e+02 9.364580305752737104e+02 8.103010727699802018e-01 2.185814941420904933e-01
2.525000000000000000e+06 6.010661547416576989e-01 1.779131033273887939e+12 8.348969185899886014e+00 3.000097996550908919e-01 4.173946931171438682e-06 -1.428507535592757893e+00 9.523099027575156583e+00 9.150147158127473404e+02 9.378187968681448865e+02 1.034035663112320202e+00 6.118754306317889524e-01 9.047780944817810678e+02 9.365254562663375282e+02 7.791038825094682707e-01 2.183504811659076339e-01
2.575000000000000000e+06 6.046475177660315392e-01 1.708954068630402344e+12 8.231744718048405574e+00 2.991719947618837749e-01 3.545513972679326404e-06 -1.596271101621402622e+00 9.406181932326759920e+00 9.152344512405117030e+02 9.378846144289756239e+02 9.948720462826836641e-01 6.133887532598960579e-01 9.051027686632484119e+02 9.365912718782775528e+02 7.488194505356844388e-01 2.181170076624516230e-01
2.625000000000000000e+06 6.082283887580424153e-01 1.644245156394922119e+12 8.120636229911175619e+00 2.986405796105807142e-01 3.011958598082386318e-06 -1.742835319665379412e+00 9.271718704024337399e+00 9.154429614408145426e+02 9.379455212548674581e+02 9.589141378949563865e-01 6.144673805805249689e-01 9.054232821399277782e+02 9.366521789417237187e+02 7.210026377509510809e-01 2.180728615270847159e-01
2.675000000000000000e+06 6.118114575904184393e-01 1.584324325029543457e+12 8.020104752154960437e+00 2.984600645909790129e-01 2.583304810274478680e-06 -1.880012356159901810e+00 9.116484706446172481e+00 9.156101813711053410e+02 9.380020839923279254e+02 9.246074769733420018e-01 6.153247035933285813e-01 9.057102028528292976e+02 9.367087436144945514e+02 6.953493446017011692e-01 2.184827257681424828e-01
2.725000000000000000e+06 6.154037117874296969e-01 1.530631191914934326e+12 7.919517224567061753e+00 2.980281700563938152e-01 2.206298914503984638e-06 -1.993327500391209206e+00 8.964818923319000987e+00 9.158156811383639706e+02 9.380525680258676857e+02 8.949622767843411486e-01 6.163081859466719159e-01 9.060189548357968761e+02 9.367592284527527227e+02 6.723822113586317428e-01 2.185519040025369064e-01
2.775000000000000000e+06 6.190053644765647345e-01 1.479831841710026611e+12 7.816179182245988954e+00 2.976296605067249024e-01 1.871830745324950693e-06 -2.086390945818713316e+00 8.824556103271433471e+00 9.160359325613751480e+02 9.381008910169484807e+02 8.659509511182217345e-01 6.172230828259662738e-01 9.063452874458325823e+02 9.368075512558486935e+02 6.503488473934631031e-01 2.186228011587296183e-01
2.825000000000000000e+06 6.226186283706609537e-01 1.432515364609238525e+12 7.700021797242944999e+00 2.967895117399184102e-01 1.548987914247647770e-06 -2.146257258637791931e+00 8.717622280616907915e+00 9.163341828896526522e+02 9.381464168095791365e+02 8.389867814463880524e-01 6.183875956748440261e-01 9.067370303401617093e+02 9.368530771218286191e+02 6.293117056071286797e-01 2.181056330160299483e-01
2.875000000000000000e+06 6.262428736149241448e-01 1.387325571455684082e+12 7.574141330709768916e+00 2.956759880705450150e-01 1.246566614005659527e-06 -2.182071294746026791e+00 8.607495954142947880e+00 9.166935415840590622e+02 9.381900916857516677e+02 8.138733326811136148e-01 6.196267491110880599e-01 9.071840322304901747e+02 9.368967530823882726e+02 6.090039134246474362e-01 2.171572232091344701e-01
2.925000000000000000e+06 6.298798251771798862e-01 1.345000011116159668e+12 7.442171494382002983e+00 2.945635875088068456e-01 9.869993027561982388e-07 -2.188176084578208780e+00 8.534664141728555364e+00 9.170625769144683090e+02 9.382335681569771850e+02 7.880329377388763934e-01 6.201410009040112525e-01 9.076390950199231611e+02 9.369402298535134150e+02 5.885021033775537092e-01 2.155428158213688883e-01
